text,frequency
10,1
180,1
402,2
4층에묵었는데,1
only,1
soso,1
staff,1
가격,2
가격대,2
가기,1
가파,1
개선좀해주었으면하네요,1
객실,2
거기,1
거리,1
거의꼬박샜다,1
건물,4
건조,1
게스트하우스,1
경우,1
계단,2
계단난간수리좀ㅡㅡ,1
계단올라가기힘듬,1
계속,1
고시텔,2
고약,1
골목,2
곰팡이,3
공간,1
관광객,3
구글,1
구비,1
국한,1
그점이,1
근거리,1
근처,2
기계실,1
기재,1
기준,1
기초적,1
깨끗,4
끔찍,2
나름,1
나방,1
난감,1
날개,1
날벌레,1
내부,3
냄새,10
다들,1
다른방소리는,2
다리,1
담배,1
답답,1
더블이,1
덕분,1
동쪽,1
뒷건물공사,1
들이,1
디테일,1
따뜻,1
때문,1
라고쓰여진방이었다,1
로비,1
리가,1
린다,1
마리,1
만큼,1
말소리,1
명동,1
모기약,1
모델,1
모두,1
모텔,4
못잤다,1
무뚝뚝한것빼고는,1
문제,1
물과전화도없,1
물내,1
뮌지모르겠는데,1
민감,1
바닥,2
바퀴벌레,2
밤시간,1
방문,1
방안,2
방음,9
방향제,1
배당,1
번호,2
벌레,1
벽지,1
별도요금,1
복도,3
부분,4
부서,1
부족,1
분류,1
불편,3
불편했,1
비누,2
비밀,1
비추,1
비품,1
뻑뻑해서,1
사과,1
사람,2
사용,1
새벽,1
생각,2
생수,1
샤워,1
선반,1
세면기,1
세면대,3
세수,1
세안,1
세탁,1
소리,7
소음때문에,1
손님,1
수압,1
수정,1
수준,1
숙박,1
숙소,1
술집,3
숨쉬기,1
슬리퍼,1
습기,1
시간,1
시비,1
시설,1
시트,1
식수,1
신경,1
실망,1
실수,1
싱글룸,2
쓰지,1
아쉬운동시에,1
아웅,1
아침,1
악취납니다,1
안나,2
안닦는거같던데,1
안될거,1
안들렸는데,2
알람,1
애매,1
약간,1
약품,1
어려운정도,1
없슴,1
없었던거,1
에가,1
에어컨,3
엘리베이터,1
여기,1
여유,1
여자,1
연결,2
열고,1
영업상,1
옆방,3
예약,3
오래걸렸음,1
온수,1
와이파이,2
욕실,3
용품,1
위치,5
위해,1
유료주차장,1
은은,1
음식,1
의거,1
이름,1
이틀,1
이해,1
이후,1
인건,1
인사,2
일반,1
입구,1
자동,1
자체,1
작음,1
잘들림,2
잘못,1
잠깐,1
저녁,1
저렴,1
전체,4
전화,1
젊음,1
정도,1
정자세,1
좁음,3
좋은대,1
주변,3
주점,1
주차,1
주차장,1
준비,1
준이,1
중국,1
중국인,2
지도,1
지불,1
직원,2
진짜,1
찝찝하지만,1
찬물,1
참고,1
첫날,2
청결도,2
청소,3
추움,1
추천,1
출장,1
취객,1
친절,1
침구류,1
침대,3
콘센트근처라블편,1
타일,1
트윈,1
편의시설,1
편의점,1
풀기,1
피로,1
하기,1
하길,1
하나,2
하루,1
하룻밤,1
하면,1
하수구,3
하시,1
한국인,1
한부,1
할거,1
할아버지,1
항상나요,1
항의,1
해서,1
해주,1
현장,1
협소,3
호수,1
호칭,1
호텔,9
혼자,1
홈페이지,1
화장실,14
환경,1
환기,3
환풍기,1
휴게실,1
