text,frequency
^ㅎ^ㅎ,1
12,1
3호선,1
4명이서,1
5명이서,1
6B69,1
72ED,1
89B3,1
9244,1
9759,1
99C5,1
aber,1
alle,1
alles,1
alten,1
Ambiente,1
an,1
anbietet,1
and,1
Architekten,1
Atmosphare,1
auch,1
auf,1
aus,1
ausmacht,1
Cafe,1
Charme,1
Dachterasse,1
das,1
Das,2
dem,1
den,2
der,5
die,1
Die,1
dieses,1
direkt,1
Dryer,1
eigenen,1
Ein,1
einen,1
engen,1
enjoy,1
enjoyed,1
erfolgreich,1
erreichen,1
Es,2
fasziniet,1
Fenster,1
Flughafenbus,1
for,2
Fuß,1
Gastfreundlichkeit,1
gegangen,1
Gegensatz,1
Gemutlichkeit,1
genau,1
gepasst,1
Geschafte,1
gibt,1
good,1
Gratisfruhstuck,1
Grid,1
großes,1
haben,1
Halterstelle,1
hat,3
hatte,1
herum,1
Hintergassen,1
hotel,1
Hotel,2
Hotelzimmer,1
in,1
inn,1
ist,2
It,1
jeden,1
just,1
kann,2
Korea,1
Lage,1
Leistungsverhaltnis,1
liegt,1
Lob,1
loved,1
man,3
Mitte,1
modernen,1
muhelos,1
mutige,1
Namsan,1
oben,1
perfect,1
place,1
Preis,1
Projekt,1
Qualitat,1
Restaurants,1
room,1
Sauberkeit,1
Sehenswurdigkeiten,1
sehr,2
Seoul,2
sieht,1
sind,2
spazieren,1
Stadt,1
stilvolle,1
Tag,1
Tage,1
this,1
totalen,1
tourist,1
Tower,1
travel,1
Tur,1
uberblicken,1
ubernachtet,1
umgesetzt,1
und,3
uns,1
unzahlige,1
very,1
Vom,1
von,1
vor,2
was,1
Was,1
Washer,1
We,1
Wir,2
wirklich,1
with,1
you,1
your,1
zentral,1
zu,1
zufrieden,1
zum,1
いけど不便ではない,1
かでキレイ,1
で行ける,1
と主な,1
가게,1
가격,3
가격대,1
가능,1
가성비,1
가장좋았던,1
가족,3
간단,4
감사,5
감탄,1
강추,2
개조,1
객실,4
거리,2
거실,1
거짓말,1
건강,1
건물,2
건조,1
건조기,1
건축가,1
게임,2
결함,1
경복궁,1
경제,1
계란,1
계란후라이,1
고민,1
골목,5
곳곳,1
공간,3
공원,1
공항버스,1
관광,1
관광지,2
관리,1
광장시장,1
光地が全部徒,1
교통편,2
구비,1
그것,2
그곳,1
그리드,1
근처,3
기대,1
기분,1
기회,1
깐깐,1
깔끔,15
깨끗,16
나라,1
나름,1
나중,1
날씨,1
남사,1
남산,1
남산뷰도,1
남향,1
내국인,1
내부,3
너무,4
늦잠,1
다른지역,1
다리미,1
다음,1
다이닝,1
대만족,1
대비,1
대중교통,1
덕분,2
도보,1
도착,1
동반,1
동화,1
들이,8
디자인,3
따뜻,2
따사,1
때문,3
린스,1
마음,2
마지막,1
만끽,1
만족,5
말하,1
맛집,1
먹거리,1
메뉴,1
메리트,1
명소,1
모두,1
모든것이,1
모든분들께,1
모습,1
모텔,1
무료,4
무엇,2
문외한,1
물건,1
미소,1
박수,1
발견,1
밤마실,1
방문,1
방음,4
배려,1
배려도,1
배치,1
번째,1
번창,1
보시,1
보쌈,1
복도,1
부띠크,1
부부,1
부탁,1
분위기,1
불구,2
불안감,1
불편,1
뷰도,1
사람,1
사업,1
사장님,2
새로생겨서,1
생각,3
샴푸,1
서비스,3
서울,3
섬세,1
성공,1
세련,2
세상,1
세탁,3
세탁실,1
센서등,1
少し,1
소음도,1
손님,1
솔직,1
수압,1
숙박,5
숙소,6
스태프,1
스탭,2
시간,1
시설,6
시작,1
시차,1
시험,2
식당,1
식사,7
식탁,1
신경,1
신축건물,1
싱글룸,1
썼구나싶게,1
아늑,4
아담,1
아서,1
아침,7
아침식사도좋았구,1
안내,1
안락,3
안전,1
안함,1
야경,1
어디,1
업무,1
에어컨,1
여기,1
여성,1
여행,5
여행객,2
여행자,1
역앞,1
예약,1
오픈,1
완벽,1
외관,2
외부,1
요기,1
욕실,5
용해,1
운치,1
위치,17
위치도좋았어요,1
은은,1
음식,2
음악,1
의식,1
의자,1
이동하,1
이름,1
이용,3
인사,1
인테리어,1
입맛,1
잏는,1
잔잔,1
잠자리,7
잡기,1
장소,1
재방문,1
저렴,3
적당,1
전반적,1
전세계,1
전자렌지,1
전체,1
점심,1
정감,1
정도,2
정류장,1
정문,1
제공,2
조도,1
조식,13
조용,4
좁긴,1
좁긴하지만,1
종로,2
종로3가,4
종로3가역,2
종묘,1
주방,1
주변,2
주요,1
주위,2
주인,1
주인장,1
주차장,1
중심가,1
지하,2
地下,1
지하철,3
지하철역,4
직원,14
진짜,1
창경궁,1
창덕궁,1
창문,1
창밖,1
처음,1
첫느낌은,1
첫인상,1
청결,7
청결도,1
청계천,2
청소,2
체크인,2
초근,1
최고,4
추진,1
추천,2
출장,1
충분,1
충전기,1
치맥,1
친구,2
친절,20
親切,1
침구,2
침대,4
카운터,1
커피,1
커피타임,1
컨셉,1
컴팩트,1
타워,2
타임,1
탑골,1
테마,1
투숙,3
투숙객,1
트렌디,1
패밀리,1
펍이,1
편리,3
편리하긴,1
편리함,1
편안,6
포근,1
포장마차,1
프로,1
프론트,1
필요,2
하기,4
하나,2
하니,1
하룻밤,1
하시,2
하신,1
하지,3
한게,1
해서,4
향기,1
호텔,16
화장실,1
훌륭,2
흡족,1
흰색,1
ㅠㅠ,1
