text,frequency
100,1
12,1
가격,5
가격대,3
가성비,3
감사,1
갑작,1
개별,1
객실,2
거리,1
걱정,2
건너편,1
건물,1
결함,1
계획,1
고급,1
골목,2
공간,2
공동,1
공연,1
관람,1
광화문,1
교통편,1
구경,1
구비,1
구역,1
구요,1
그것,1
그냥다완벽했습니다,1
근처,2
기분,1
기준,1
깔끔,8
깨끗,4
나와서찾기도너무쉬웠고,1
내부,1
너무,2
다니,1
다음,1
다행,1
대중교통,1
대체,1
더블룸,2
도어락,2
되어있는점이,1
디지털,1
따뜻,5
딱좋음,1
때문,1
뜨거운물도,1
로비,1
마음,1
만족,4
많이있음,1
맛집,1
맛집많고,1
매니저,1
무엇,1
문제,2
미흡,1
바닥,1
밥해먹는데,1
방음,1
버스,2
번호,1
보두,1
보안상,1
볼일,1
부엌,1
분위기,2
불편,1
비밀,1
비슷,1
빨래,1
사가,1
사진,1
상당히아늑했고요,1
상태,2
새벽1시까지,1
생각,3
서비스,2
서울시내,2
서울역,1
세련,1
소통,1
속터졌다,1
수납,1
수압,1
숙박,1
숙소,5
시내,1
시설,1
시원,1
시트,1
식당,1
식사,1
싱글룸,4
안내,1
안되긴하지만,1
안락,5
어느곳을,1
업그레이드,1
에어컨,1
여행,2
역과,1
예약,3
와이파이,1
완전,1
외국인,1
용품,1
우산,1
위치,15
위치는좋다,1
위치도너무좋았어요,1
유창,1
음식,1
의거,1
의사,1
이름,1
이불,2
이용,1
이정,1
이쪽,1
이후,1
인사,3
인사동,1
인사동에어울리는전통분위기,1
인상,1
입구,1
자체,1
잘쉬었습니다,1
잠은,1
재료,1
재방문,1
저렴,4
적극,1
전반적,1
전체,1
젊음,1
접근,2
정류장,1
조건,1
조선족,1
조용,2
종각,1
종각역,1
종로,5
주변,2
주위,1
중간,1
중국,2
중국어,1
중심지,1
지하철,1
지하철역,3
직원,8
집에와있는것처럼,1
찬물,1
청결,4
청계천,1
청소,1
최고,3
추천,2
출장,1
친구,1
친절,7
침구,2
침구류,1
침대,7
커버,1
특히침구가,1
편리,2
편안,3
편안한침대,1
평일,1
포근,1
푹신,1
필요,4
하나씩,1
하시,1
한국어,1
한물,1
할만,1
해서,6
해주,1
햇빛,1
호텔,1
홍보,1
